property_id,neighborhood,neighborhood_ar,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,furnishing,status,title_text,created_at,source_url,collection_date
C0062,An Narjis,النرجس,Floor,155000,160.0,3,4,Fully furnished,Rented out,New Floor in Al Narjis,2026-04-28T08:50:33.624Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0190,Al Aqiq,حي العقيق,Apartments,138000,128.0,3,3,Fully furnished,Rented out,Duplex | Al Aqiq — A Statement Address​​​​​​​​​​​​​​​​,2025-10-19T15:19:25.183Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0057,An Narjis,النرجس,Compounds,160000,148.0,3,4,Fully furnished,Available,Satel at Opal | New Furnished & Unfurnished Apartments,2026-04-06T15:02:52.607Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0166,Al Malqa,حي الملقا,Apartments,90000,99.0,2,3,Fully furnished,Rented out,2 Master Bedrooms Apartment in Al Malqa,2025-08-11T14:54:53.744Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0036,Al Wurud,الورود,Studio,65000,35.0,1,1,Fully furnished,Available,Studio - SATEL 107 in Al Wurud,2025-10-12T08:20:14.532Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0226,At Taawun,التعاون,Apartments,90000,205.0,5,3,Unfurnished,Rented out,5 Beds Family Apartment in Al Taawun,2026-05-04T13:19:22.289Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0044,Al Olaya,حي العليا,Floor,130000,80.0,3,3,Unfurnished,Rented out, New Residential Floor for Rent ,2026-03-15T19:28:43.633Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0043,Al Wurud,الورود,Studio,55000,69.0,1,1,Fully furnished,Rented out,New Studio for Rent,2026-01-04T12:07:23.737Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0222,Al Olaya,العليا,Apartments,115000,114.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Olaya,2026-04-26T09:21:09.187Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0228,Al Mohammadiyyah,المحمدية,Apartments,120000,162.0,3,4,Unfurnished,Rented out,New Apartment in Al Mohammadiyyah - 3 Beds,2026-05-14T16:00:41.881Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0061,An Narjis,النرجس,Compounds,140000,125.0,3,3,Fully furnished,Available,Satel at Opal on Thoumamah Road - Furnished 3 Bedrooms Apartment,2026-04-26T14:27:12.476Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0107,Al Mohammadiyyah,,Apartments,155000,135.0,2,3,Fully furnished,Rented out,2 Bedrooms with In-Unit Office in Al Mohammadiyyah,2025-04-22T12:32:45.253Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0045,Ar Rafiah,الرفيعة,Villas,220000,300.0,3,5,Fully furnished,Rented out,SATEL Rafilla Community | The Art of Executive Living in Riyadh,2026-04-06T12:17:32.254Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0207,Hittin,حطين,Apartments,120000,156.0,2,3,Fully furnished,Rented out,2 Bedrooms Apartment in Hittin,2026-02-11T11:05:44.907Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0043,Ar Rafiah,الرفيعة,Villas,205000,300.0,3,5,Unfurnished,Rented out,SATEL Rafilla community | The Art of Executive Living in Riyadh,2026-04-06T10:23:47.054Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0042,Al Olaya,حي العليا,Villas,220000,200.0,4,5,Fully furnished,Rented out,Villa in Al Olaya,2026-02-02T11:03:20.218Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0040,Al Mathar Ash Shamali,حي المعذر الشمالي,Studio,70000,40.0,1,1,Fully furnished,Rented out,Satel at La Cordia – Residential Living with Hotel-Level Standards,2025-11-30T13:34:18.990Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0049,An Narjis,النرجس,Apartments,170000,149.0,2,3,Fully furnished,Available,Satel at Opal on Thoumamah Road - Furnished 2 Bedrooms Apartment,2026-03-17T20:21:14.964Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0047,Ar Rafiah,الرفيعة,Villas,240000,300.0,3,5,Fully furnished,Rented out,Satel Rafilla Community | The Art of Executive Living in Riyadh,2026-05-14T14:52:57.628Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0042,Al Wurud,الورود,Studio,72000,115.0,1,1,Fully furnished,Rented out,New Studio for Rent — Al Wurud,2025-12-30T13:39:54.590Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0063,Al Malqa,الملقا,Floor,65000,150.0,5,4,Unfurnished,Rented out,Floor in Al Malqa | On Anas Ibn Malik Road,2026-05-11T10:59:48.096Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0071,Al Olaya,العليا,Floor,65000,232.0,4,3,Partially furnished,Rented out,Family Floor for Rent in Al Olaya | Spacious 4BRs,2026-06-23T12:51:50.168Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0070,Al Olaya,العليا,Floor,70000,232.0,4,3,Partially furnished,Available,Semi furnished Floor - Al Olaya ,2026-06-23T11:41:13.963Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0198,Al Mathar Ash Shamali,حي المعذر الشمالي,Apartments,105000,79.0,2,1,Fully furnished,Rented out,Satel at La Cordia – Residential Living with Hotel-Level Standards,2025-11-30T09:49:31.465Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0059,King Fahd,حي الملك فهد,Floor,90000,375.0,4,3,Unfurnished,Rented out,Floor in King Fahad District,2026-04-23T15:21:23.925Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0229,Almasiaf,,Apartments,110000,157.0,3,4,Fully furnished,Rented out,Furnished 3 Beds Apartment — Al Masaif,2026-05-24T11:20:02.008Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0041,Al Mathar Ash Shamali,حي المعذر الشمالي,Studio,65000,34.0,1,1,Fully furnished,Rented out,Studio With Balcony - La Cordia Suites in Al Ma’athar Al Shamali,2025-11-30T13:47:52.141Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0219,Al Mathar Ash Shamali,المعذر الشمالي,Studio,95000,55.0,2,1,Fully furnished,Rented out,Satel at La Cordia – Residential Living with Hotel-Level Standards,2026-04-06T11:54:28.677Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0034,An Nakheel,النخيل,Villas,200000,245.0,3,3,Fully furnished,Available,SATEL at Creative Community ,2025-10-27T06:15:16.357Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0199,Al Malqa,حي الملقا,Apartments,120000,125.0,2,3,Fully furnished,Rented out,2 Beds with an In-Unit Office – Al Malqa,2025-12-09T13:57:36.248Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0039,Al Mathar Ash Shamali,حي المعذر الشمالي,Studio,50000,23.0,1,1,Fully furnished,Rented out,Satel at La Cordia – Residential Living with Hotel-Level Standards,2025-11-30T12:49:35.287Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0039,Ar Rahmaniyyah,حي الرحمانية,Villas,230000,200.0,2,3,Fully furnished,Available,Tuwaiq Complex Luxury Villa for Rent - Deluxe,2025-11-26T15:31:45.476Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0232,Al Ghadir,الغدير,Apartments,64000,123.0,3,2,Unfurnished,Rented out,3 Bedrooms Apartment in Al Ghadir,2026-06-08T12:43:45.623Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0040,Ar Rahmaniyyah,حي الرحمانية,Villas,210000,180.0,2,3,Fully furnished,Rented out,Tuwaiq Complex Luxury Villa for Rent - Executive ,2025-11-26T15:15:41.053Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0038,Ar Rahmaniyyah,حي الرحمانية,Villas,250000,250.0,2,3,Fully furnished,Rented out,Tuwaiq Complex Luxury Villa for Rent - Royal,2025-11-26T15:29:18.825Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0194,Al Wurud,,Apartments,120000,137.0,2,2,Fully furnished,Rented out,Furnished & Unfurnished Apartments in Al Wurud,2025-11-04T11:00:07.125Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0046,Sedra,سدرة,Villas,380000,614.0,5,6,Unfurnished,Rented out,Villa in Sedra | Where Architecture Meets Home,2026-05-09T20:04:08.121Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0038,Al Mathar Ash Shamali,حي المعذر الشمالي,Studio,60000,30.0,1,1,Fully furnished,Available,Satel at La Cordia – Residential Living with Hotel-Level Standards,2025-11-30T10:47:07.443Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0054,An Narjis,النرجس,Compounds,120000,147.0,3,4,Unfurnished,Available,Satel at Opal on Thoumamah Road - 3 Beds Apartment,2026-04-06T13:41:13.462Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0208,As Sahafah,الصحافة,Apartments,140000,144.0,2,2,Fully furnished,Rented out,2 Bedrooms Apartment in Al Sahafah,2026-02-12T14:48:44.178Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0205,Al Malqa,الملقا,Apartments,70000,128.0,2,2,Unfurnished,Rented out,2 Bedrooms Apartment in Al Malqa,2026-02-01T15:29:14.027Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0204,Al Olaya,العليا,Apartments,130000,108.0,3,4,Unfurnished,Rented out,3 Bedrooms Apartment in Al Sulimaniyah,2026-01-15T13:45:28.461Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0203,Al Olaya,حي العليا,Apartments,125000,60.0,2,4,Unfurnished,Rented out,New 2 Beds Apartment in Al Olaya,2025-12-30T12:12:21.884Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0215,Al Aqiq,العقيق,Apartments,70000,95.0,2,2,Unfurnished,Rented out,2 Beds in a Family Community for Rent - Al Aqiq,2026-03-17T19:49:58.493Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0201,Al Muruj,,Apartments,110000,100.0,2,3,Fully furnished,Rented out,2 Beds Apartment with Private Entrance – Al Muruj,2025-12-17T13:48:25.755Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0197,Al Malqa,حي الملقا,Apartments,105000,156.0,3,4,Unfurnished,Rented out,3 Bedrooms Apartment with Rooftop in Al Malqa,2025-11-12T09:46:29.286Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0196,Al Malqa,الملقا,Apartments,100000,146.0,3,3,Fully furnished,Rented out,3 Bedrooms Apartment in Al Malqa,2025-11-11T12:42:17.701Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0010,At Taawun,التعاون,Villas,180000,320.0,4,5,Fully furnished,Rented out,Villa in Al Taawun,2024-12-19T09:10:25.926Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0089,An Narjis,حي النرجس,Apartments,70000,128.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Narjis,2025-03-27T20:26:14.433Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0214,Ar Rahmaniyyah,الرحمانية,Apartments,70000,57.0,2,2,Fully furnished,Available,2 Beds Furnished for Rent - Serviced Apartment,2026-03-17T19:48:36.026Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0037,An Nada,حي الندى,Villas,230000,396.0,7,9,Unfurnished,Rented out,Villa in Al Nada,2025-11-02T16:33:23.522Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0195,Al Malqa,الملقا,Apartments,158000,93.0,1,3,Fully furnished,Rented out,Apartment with Spacious Layout — Al Malqa,2025-11-08T15:34:09.309Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0036,An Nakheel,النخيل,Villas,200000,245.0,3,3,Fully furnished,Available,Creative Community | Luxury | Leisure | Location ,2025-10-27T10:43:26.600Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0192,An Nakheel,حي النخيل,Apartments,135000,149.0,3,4,Unfurnished,Rented out,3 Bedrooms with Rooftop in Al Nakhil,2025-10-22T13:41:07.121Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0188,As Sulimaniyah,العليا,Apartments,115000,144.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Sulimaniyah,2025-10-19T13:04:32.350Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0186,Al Aqiq,حي العقيق,Apartments,105000,121.0,2,3,Unfurnished,Rented out,2 Master Bedrooms Apartment in Al Aqiq,2025-10-12T09:32:05.520Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0210,Hittin,حطين,Apartments,110000,126.0,1,2,Fully furnished,Rented out,Furnished 1 Bed Apartment in Hittin,2026-03-15T19:43:48.110Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0154,Jarir,جرير,Apartments,80000,114.0,2,3,Unfurnished,Rented out,2 Bedrooms Apartment in Jarir District,2025-07-16T07:45:21.812Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0185,Al Mathar Ash Shamali,المعذر الشمالي,Apartments,135000,122.0,3,4,Fully furnished,Rented out,Furnished 3 Beds Apartment in Al Ma’athar Al Shamali,2025-10-12T08:41:40.225Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0184,Al Mathar Ash Shamali,المعذر الشمالي,Apartments,125000,111.0,3,3,Fully furnished,Rented out,Furnished 3 Beds Apartment in Al Ma’athar Al Shamali,2025-10-12T07:53:30.500Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0035,Al Olaya,العليا,Floor,140000,143.0,3,3,Unfurnished,Rented out,GF For Rent in Al Olaya - New,2025-10-06T12:39:28.361Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0183,Al Malqa,حي الملقا,Apartments,90000,130.0,3,4,Unfurnished,Rented out,3 Bedrooms Apartment in Al Malqa,2025-10-01T15:18:31.203Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0182,Al Olaya,حي العليا,Apartments,120000,120.0,3,3,Fully furnished,Rented out,Furnished 2 Beds Family Apartment — Al Olaya,2025-09-28T12:26:14.033Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0181,Al Olaya,حي العليا,Apartments,125000,120.0,2,3,Fully furnished,Rented out,2 Beds | Private Gym & Workspace — Al Olaya ,2025-09-28T10:46:21.710Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0180,Ar Rahmaniyyah,الرحمانية,Apartments,50000,460.0,2,2,Unfurnished,Rented out,2 Bedrooms Apartment in Villa - Al Rahmaniyah,2025-09-28T08:49:21.096Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0174,An Narjis,النرجس,Compounds,105000,113.0,1,3,Fully furnished,Rented out,Satel at Opal on Thoumamah Road - Furnished 1 Bedroom Apartment,2025-09-18T08:43:10.442Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0178,An Narjis,النرجس,Compounds,130000,107.0,2,4,Fully furnished,Rented out,Satel at Opal on Thoumamah Road - Furnished 2 Bedrooms Apartment,2025-09-18T08:33:35.307Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0221,Al Olaya,العليا,Apartments,115000,114.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Olaya,2026-04-23T18:50:01.267Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0140,Al Murabba,المربع,Apartments,100000,106.0,2,3,Unfurnished,Rented out,2 Bedrooms Apartment in Al Murabba,2025-06-24T11:05:34.640Z,https://apiv2.satel.sa/property/filter,2026-09-11
