property_id,neighborhood,neighborhood_ar,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,furnishing,status,title_text,created_at
A0138,Ar Rahmaniyyah,الرحمانية,Apartments,70000,57.0,2,2,Fully furnished,Available,2 Beds | Serviced Apartments in Al Rahmaniyah,2025-06-18 14:45:40.961000+00:00
A0206,Al Aqiq,,Apartments,120000,106.0,2,3,Fully furnished,Rented out,2 Bedrooms Apartment in Al Aqiq,2026-02-11 10:27:38.895000+00:00
A0131,Al Aarid,العارض,Apartments,95000,100.0,3,3,Fully furnished,Rented out,3 Bedrooms Apartment in Al Arid,2025-05-26 17:40:02.494000+00:00
A0129,Ar Rimal,الرمال,Apartments,73000,142.0,3,3,Partially furnished,Rented out,Furnished 3 Bedrooms Apartment in Al Rimal,2025-05-22 12:12:08.745000+00:00
C0021,As Sahafah,الصحافة,Duplex,220000,191.0,3,3,Fully furnished,Rented out,"Duplex | 19th Floor, Al Sahafah",2025-06-30 07:31:48.752000+00:00
C0024,Al Malaz,الملز,Floor,100000,312.0,3,3,Unfurnished,Rented out,New Floor in Al Malaz,2025-07-02 10:11:38.131000+00:00
A0172,Al Wurud,الورود,Apartments,95000,137.0,2,2,Unfurnished,Rented out,Furnished & Unfurnished Apartments in Al Wurud,2025-09-11 14:32:55.273000+00:00
A0143,Al Malaz,حي الملز,Apartments,72000,130.0,3,3,Partially furnished,Rented out,3 Bedrooms Apartment in Al Malaz ,2025-06-25 13:01:16.398000+00:00
A0152,Al Olaya,حي العليا,Apartments,73000,120.0,2,2,Unfurnished,Rented out,2 Bedrooms Apartment in Al Olaya,2025-07-14 10:38:51.203000+00:00
A0126,Al Murabba,المربع,Apartments,90000,101.0,2,3,Unfurnished,Rented out,2 Master Bedrooms in Al Murabaa,2025-05-19 06:30:09.519000+00:00
A0124,Alyasmin,الياسمين,Apartments,85000,129.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Yasmin,2025-05-18 14:53:14.501000+00:00
