property_id,neighborhood,neighborhood_ar,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,furnishing,status,title_text,created_at
A0200,Alyasmin,الياسمين,Apartments,100000,159.0,2,3,Unfurnished,Rented out,2 Bedrooms Apartment – Al Yasmin ,2025-12-09 14:24:41.308000+00:00
A0231,Al Malaz,الملز,Apartments,64000,90.0,3,3,Unfurnished,Available,3 Beds Apartment in Al Malaz,2026-06-02 10:08:39.802000+00:00
A0078,Al Mohammadiyyah,,Apartments,150000,120.0,3,3,Fully furnished,Rented out,3 Bedrooms Apartment in Al Mohammadiyah,2025-02-12 14:27:15.491000+00:00
C0056,An Narjis,النرجس,Compounds,110000,149.0,2,4,Unfurnished,Available,Opal by Satel | Gated Living in Al Narjis,2026-04-06 14:38:22.186000+00:00
C0062,An Narjis,النرجس,Floor,155000,160.0,3,4,Fully furnished,Rented out,New Floor in Al Narjis,2026-04-28 08:50:33.624000+00:00
A0190,Al Aqiq,حي العقيق,Apartments,138000,128.0,3,3,Fully furnished,Rented out,Duplex | Al Aqiq — A Statement Address​​​​​​​​​​​​​​​​,2025-10-19 15:19:25.183000+00:00
C0057,An Narjis,النرجس,Compounds,160000,148.0,3,4,Fully furnished,Available,Satel at Opal | New Furnished & Unfurnished Apartments,2026-04-06 15:02:52.607000+00:00
A0166,Al Malqa,حي الملقا,Apartments,90000,99.0,2,3,Fully furnished,Rented out,2 Master Bedrooms Apartment in Al Malqa,2025-08-11 14:54:53.744000+00:00
C0036,Al Wurud,الورود,Studio,65000,35.0,1,1,Fully furnished,Available,Studio - SATEL 107 in Al Wurud,2025-10-12 08:20:14.532000+00:00
A0226,At Taawun,التعاون,Apartments,90000,205.0,5,3,Unfurnished,Rented out,5 Beds Family Apartment in Al Taawun,2026-05-04 13:19:22.289000+00:00
C0044,Al Olaya,حي العليا,Floor,130000,80.0,3,3,Unfurnished,Rented out, New Residential Floor for Rent ,2026-03-15 19:28:43.633000+00:00
C0043,Al Wurud,الورود,Studio,55000,69.0,1,1,Fully furnished,Rented out,New Studio for Rent,2026-01-04 12:07:23.737000+00:00
A0222,Al Olaya,العليا,Apartments,115000,114.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Olaya,2026-04-26 09:21:09.187000+00:00
A0228,Al Mohammadiyyah,المحمدية,Apartments,120000,162.0,3,4,Unfurnished,Rented out,New Apartment in Al Mohammadiyyah - 3 Beds,2026-05-14 16:00:41.881000+00:00
C0061,An Narjis,النرجس,Compounds,140000,125.0,3,3,Fully furnished,Available,Satel at Opal on Thoumamah Road - Furnished 3 Bedrooms Apartment,2026-04-26 14:27:12.476000+00:00
A0107,Al Mohammadiyyah,,Apartments,155000,135.0,2,3,Fully furnished,Rented out,2 Bedrooms with In-Unit Office in Al Mohammadiyyah,2025-04-22 12:32:45.253000+00:00
V0045,Ar Rafiah,الرفيعة,Villas,220000,300.0,3,5,Fully furnished,Rented out,SATEL Rafilla Community | The Art of Executive Living in Riyadh,2026-04-06 12:17:32.254000+00:00
A0207,Hittin,حطين,Apartments,120000,156.0,2,3,Fully furnished,Rented out,2 Bedrooms Apartment in Hittin,2026-02-11 11:05:44.907000+00:00
V0043,Ar Rafiah,الرفيعة,Villas,205000,300.0,3,5,Unfurnished,Rented out,SATEL Rafilla community | The Art of Executive Living in Riyadh,2026-04-06 10:23:47.054000+00:00
V0042,Al Olaya,حي العليا,Villas,220000,200.0,4,5,Fully furnished,Rented out,Villa in Al Olaya,2026-02-02 11:03:20.218000+00:00
C0040,Al Mathar Ash Shamali,حي المعذر الشمالي,Studio,70000,40.0,1,1,Fully furnished,Rented out,Satel at La Cordia – Residential Living with Hotel-Level Standards,2025-11-30 13:34:18.990000+00:00
C0049,An Narjis,النرجس,Apartments,170000,149.0,2,3,Fully furnished,Available,Satel at Opal on Thoumamah Road - Furnished 2 Bedrooms Apartment,2026-03-17 20:21:14.964000+00:00
V0047,Ar Rafiah,الرفيعة,Villas,240000,300.0,3,5,Fully furnished,Rented out,Satel Rafilla Community | The Art of Executive Living in Riyadh,2026-05-14 14:52:57.628000+00:00
C0042,Al Wurud,الورود,Studio,72000,115.0,1,1,Fully furnished,Rented out,New Studio for Rent — Al Wurud,2025-12-30 13:39:54.590000+00:00
C0063,Al Malqa,الملقا,Floor,65000,150.0,5,4,Unfurnished,Rented out,Floor in Al Malqa | On Anas Ibn Malik Road,2026-05-11 10:59:48.096000+00:00
C0071,Al Olaya,العليا,Floor,65000,232.0,4,3,Partially furnished,Rented out,Family Floor for Rent in Al Olaya | Spacious 4BRs,2026-06-23 12:51:50.168000+00:00
C0070,Al Olaya,العليا,Floor,70000,232.0,4,3,Partially furnished,Available,Semi furnished Floor - Al Olaya ,2026-06-23 11:41:13.963000+00:00
A0198,Al Mathar Ash Shamali,حي المعذر الشمالي,Apartments,105000,79.0,2,1,Fully furnished,Rented out,Satel at La Cordia – Residential Living with Hotel-Level Standards,2025-11-30 09:49:31.465000+00:00
C0059,King Fahd,حي الملك فهد,Floor,90000,375.0,4,3,Unfurnished,Rented out,Floor in King Fahad District,2026-04-23 15:21:23.925000+00:00
A0229,Almasiaf,,Apartments,110000,157.0,3,4,Fully furnished,Rented out,Furnished 3 Beds Apartment — Al Masaif,2026-05-24 11:20:02.008000+00:00
C0041,Al Mathar Ash Shamali,حي المعذر الشمالي,Studio,65000,34.0,1,1,Fully furnished,Rented out,Studio With Balcony - La Cordia Suites in Al Ma’athar Al Shamali,2025-11-30 13:47:52.141000+00:00
A0219,Al Mathar Ash Shamali,المعذر الشمالي,Studio,95000,55.0,2,1,Fully furnished,Rented out,Satel at La Cordia – Residential Living with Hotel-Level Standards,2026-04-06 11:54:28.677000+00:00
V0034,An Nakheel,النخيل,Villas,200000,245.0,3,3,Fully furnished,Available,SATEL at Creative Community ,2025-10-27 06:15:16.357000+00:00
A0199,Al Malqa,حي الملقا,Apartments,120000,125.0,2,3,Fully furnished,Rented out,2 Beds with an In-Unit Office – Al Malqa,2025-12-09 13:57:36.248000+00:00
C0039,Al Mathar Ash Shamali,حي المعذر الشمالي,Studio,50000,23.0,1,1,Fully furnished,Rented out,Satel at La Cordia – Residential Living with Hotel-Level Standards,2025-11-30 12:49:35.287000+00:00
V0039,Ar Rahmaniyyah,حي الرحمانية,Villas,230000,200.0,2,3,Fully furnished,Available,Tuwaiq Complex Luxury Villa for Rent - Deluxe,2025-11-26 15:31:45.476000+00:00
A0232,Al Ghadir,الغدير,Apartments,64000,123.0,3,2,Unfurnished,Rented out,3 Bedrooms Apartment in Al Ghadir,2026-06-08 12:43:45.623000+00:00
V0040,Ar Rahmaniyyah,حي الرحمانية,Villas,210000,180.0,2,3,Fully furnished,Rented out,Tuwaiq Complex Luxury Villa for Rent - Executive ,2025-11-26 15:15:41.053000+00:00
V0038,Ar Rahmaniyyah,حي الرحمانية,Villas,250000,250.0,2,3,Fully furnished,Rented out,Tuwaiq Complex Luxury Villa for Rent - Royal,2025-11-26 15:29:18.825000+00:00
A0194,Al Wurud,,Apartments,120000,137.0,2,2,Fully furnished,Rented out,Furnished & Unfurnished Apartments in Al Wurud,2025-11-04 11:00:07.125000+00:00
V0046,Sedra,سدرة,Villas,380000,614.0,5,6,Unfurnished,Rented out,Villa in Sedra | Where Architecture Meets Home,2026-05-09 20:04:08.121000+00:00
C0038,Al Mathar Ash Shamali,حي المعذر الشمالي,Studio,60000,30.0,1,1,Fully furnished,Available,Satel at La Cordia – Residential Living with Hotel-Level Standards,2025-11-30 10:47:07.443000+00:00
C0054,An Narjis,النرجس,Compounds,120000,147.0,3,4,Unfurnished,Available,Satel at Opal on Thoumamah Road - 3 Beds Apartment,2026-04-06 13:41:13.462000+00:00
A0208,As Sahafah,الصحافة,Apartments,140000,144.0,2,2,Fully furnished,Rented out,2 Bedrooms Apartment in Al Sahafah,2026-02-12 14:48:44.178000+00:00
A0205,Al Malqa,الملقا,Apartments,70000,128.0,2,2,Unfurnished,Rented out,2 Bedrooms Apartment in Al Malqa,2026-02-01 15:29:14.027000+00:00
A0204,Al Olaya,العليا,Apartments,130000,108.0,3,4,Unfurnished,Rented out,3 Bedrooms Apartment in Al Sulimaniyah,2026-01-15 13:45:28.461000+00:00
A0203,Al Olaya,حي العليا,Apartments,125000,60.0,2,4,Unfurnished,Rented out,New 2 Beds Apartment in Al Olaya,2025-12-30 12:12:21.884000+00:00
A0215,Al Aqiq,العقيق,Apartments,70000,95.0,2,2,Unfurnished,Rented out,2 Beds in a Family Community for Rent - Al Aqiq,2026-03-17 19:49:58.493000+00:00
A0201,Al Muruj,,Apartments,110000,100.0,2,3,Fully furnished,Rented out,2 Beds Apartment with Private Entrance – Al Muruj,2025-12-17 13:48:25.755000+00:00
A0197,Al Malqa,حي الملقا,Apartments,105000,156.0,3,4,Unfurnished,Rented out,3 Bedrooms Apartment with Rooftop in Al Malqa,2025-11-12 09:46:29.286000+00:00
A0196,Al Malqa,الملقا,Apartments,100000,146.0,3,3,Fully furnished,Rented out,3 Bedrooms Apartment in Al Malqa,2025-11-11 12:42:17.701000+00:00
V0010,At Taawun,التعاون,Villas,180000,320.0,4,5,Fully furnished,Rented out,Villa in Al Taawun,2024-12-19 09:10:25.926000+00:00
A0089,An Narjis,حي النرجس,Apartments,70000,128.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Narjis,2025-03-27 20:26:14.433000+00:00
A0214,Ar Rahmaniyyah,الرحمانية,Apartments,70000,57.0,2,2,Fully furnished,Available,2 Beds Furnished for Rent - Serviced Apartment,2026-03-17 19:48:36.026000+00:00
V0037,An Nada,حي الندى,Villas,230000,396.0,7,9,Unfurnished,Rented out,Villa in Al Nada,2025-11-02 16:33:23.522000+00:00
A0195,Al Malqa,الملقا,Apartments,158000,93.0,1,3,Fully furnished,Rented out,Apartment with Spacious Layout — Al Malqa,2025-11-08 15:34:09.309000+00:00
V0036,An Nakheel,النخيل,Villas,200000,245.0,3,3,Fully furnished,Available,Creative Community | Luxury | Leisure | Location ,2025-10-27 10:43:26.600000+00:00
A0192,An Nakheel,حي النخيل,Apartments,135000,149.0,3,4,Unfurnished,Rented out,3 Bedrooms with Rooftop in Al Nakhil,2025-10-22 13:41:07.121000+00:00
A0188,As Sulimaniyah,العليا,Apartments,115000,144.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Sulimaniyah,2025-10-19 13:04:32.350000+00:00
A0186,Al Aqiq,حي العقيق,Apartments,105000,121.0,2,3,Unfurnished,Rented out,2 Master Bedrooms Apartment in Al Aqiq,2025-10-12 09:32:05.520000+00:00
A0210,Hittin,حطين,Apartments,110000,126.0,1,2,Fully furnished,Rented out,Furnished 1 Bed Apartment in Hittin,2026-03-15 19:43:48.110000+00:00
A0154,Jarir,جرير,Apartments,80000,114.0,2,3,Unfurnished,Rented out,2 Bedrooms Apartment in Jarir District,2025-07-16 07:45:21.812000+00:00
