property_id,neighborhood_ar,neighborhood_key,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,living_rooms,furnished,ac,lift,maid_room,driver_room,pool,created_at,log_annual_rent,price_outlier_iqr,area_flag
6327010,المهديه,المهديه,Apartments,55000.0,141.0,3,3,2,0,1,0,0,0,0,2025-08-12 00:49:47+00:00,10.915088464214607,False,False
6346020,الخليج,الخليج,Apartments,19000.0,50.0,1,1,0,0,1,0,0,0,0,2025-08-23 11:53:53+00:00,9.852194258148577,False,False
6465037,الملقا,الملقا,Floor,80000.0,687.0,5,,,0,0,0,0,0,0,2025-11-12 17:40:08+00:00,11.289781913656018,False,False
6485513,النرجس,النرجس,Apartments,70000.0,117.0,3,3,2,0,1,1,0,0,0,2025-11-29 15:15:48+00:00,11.156250521031495,False,False
6495106,النرجس,النرجس,Apartments,42000.0,337.0,2,1,1,0,1,0,0,0,0,2025-12-06 14:27:04+00:00,10.645424897265505,False,False
6415538,الغدير,الغدير,Apartments,27000.0,100.0,1,,,0,0,0,0,0,0,2025-10-08 15:16:27+00:00,10.203592144986466,False,False
6485452,الحمراء,الحمراء,Apartments,23000.0,70.0,1,,,0,0,0,0,0,0,2025-11-29 14:39:08+00:00,10.043249494911286,False,False
6415499,الياسمين,الياسمين,Apartments,35000.0,100.0,1,,,0,0,0,0,0,0,2025-10-08 14:53:44+00:00,10.46310334047155,False,False
6415519,اليرموك,اليرموك,Apartments,27000.0,100.0,1,,,0,0,0,0,0,0,2025-10-08 15:07:57+00:00,10.203592144986466,False,False
6469428,الملقا,الملقا,Apartments,28000.0,100.0,1,1,0,0,1,1,0,0,0,2025-11-16 15:21:09+00:00,10.239959789157341,False,False
6493120,الياسمين,الياسمين,Apartments,35000.0,70.0,1,1,1,0,1,1,0,0,0,2025-12-04 14:20:58+00:00,10.46310334047155,False,False
6400137,الياسمين,الياسمين,Apartments,35000.0,100.0,1,1,1,0,1,1,0,0,0,2025-09-27 15:05:59+00:00,10.46310334047155,False,False
6348155,اليرموك,اليرموك,Apartments,27000.0,100.0,1,1,1,0,1,1,0,0,0,2025-08-24 15:01:57+00:00,10.203592144986466,False,False
6515303,الربيع,الربيع,Apartments,75000.0,149.0,4,4,2,0,1,1,0,0,0,2025-12-21 15:08:42+00:00,11.225243392518447,False,False
6462529,النرجس,النرجس,Apartments,85000.0,129.0,3,3,1,0,1,1,0,0,0,2025-11-10 23:06:17+00:00,11.350406535472453,False,False
6475500,العارض,العارض,Apartments,50000.0,520.0,3,2,2,0,1,0,0,0,0,2025-11-20 23:09:08+00:00,10.819778284410283,False,False
6504946,النرجس,النرجس,Floor,120000.0,810.0,4,5,3,1,1,0,0,0,0,2025-12-13 14:54:36+00:00,11.695247021764184,False,False
6510282,ظهره لبن,ظهره لبن,Apartments,35000.0,108.0,3,2,1,0,0,0,0,0,0,2025-12-17 11:02:22+00:00,10.46310334047155,False,False
6479368,النرجس,النرجس,Floor,75000.0,360.0,5,5,2,0,1,0,0,0,0,2025-11-24 15:14:28+00:00,11.225243392518447,False,False
6445149,الشهداء,الشهداء,Apartments,25000.0,100.0,1,1,0,0,1,1,0,0,0,2025-10-29 10:36:08+00:00,10.126631103850338,False,False
6522414,بنبان,بنبان,Floor,43000.0,500.0,2,2,1,0,0,0,0,0,0,2025-12-26 18:57:18+00:00,10.668955394675699,False,False
6393345,الملك فيصل,الملك فيصل,Apartments,24000.0,40.0,1,1,0,0,1,0,0,0,0,2025-09-22 08:30:05+00:00,10.085809109330082,False,False
6393302,الملك فيصل,الملك فيصل,Apartments,30000.0,60.0,1,1,1,0,1,0,0,0,0,2025-09-22 07:59:28+00:00,10.308952660644293,False,False
6372117,اليرموك,اليرموك,Apartments,26000.0,50.0,1,,,0,0,0,0,0,0,2025-09-07 20:22:17+00:00,10.165851817003619,False,False
6343958,الخليج,الخليج,Apartments,19000.0,50.0,1,1,0,0,1,0,0,0,0,2025-08-21 15:59:28+00:00,9.852194258148577,False,False
6519814,السويدي الغربي,السويدي الغربي,Apartments,25000.0,60.0,1,,,0,0,0,0,0,0,2025-12-24 15:29:23+00:00,10.126631103850338,False,False
6395652,الملك فيصل,الملك فيصل,Apartments,24000.0,40.0,1,1,,0,1,0,0,0,0,2025-09-24 08:09:13+00:00,10.085809109330082,False,False
6425723,العارض,العارض,Apartments,55000.0,400.0,2,2,1,0,1,0,0,0,0,2025-10-15 17:49:04+00:00,10.915088464214607,False,False
6520116,السعاده,السعاده,Apartments,30000.0,55.0,1,1,1,0,1,1,0,0,0,2025-12-24 18:16:17+00:00,10.308952660644293,False,False
6504297,الغدير,الغدير,Apartments,33000.0,100.0,1,1,1,0,1,1,0,0,0,2025-12-12 22:07:48+00:00,10.404262840448617,False,False
6504290,الياسمين,الياسمين,Apartments,36000.0,100.0,1,1,1,0,1,1,0,0,0,2025-12-12 21:58:24+00:00,10.491274217438248,False,False
6515660,السعاده,السعاده,Apartments,27000.0,45.0,1,1,0,0,1,1,0,0,0,2025-12-21 18:00:42+00:00,10.203592144986466,False,False
6472466,المروه,المروه,Apartments,20000.0,62.0,1,1,1,0,1,1,0,0,0,2025-11-18 17:02:19+00:00,9.903487552536127,False,False
6516845,اليرموك,اليرموك,Apartments,27000.0,70.0,1,1,1,0,1,1,0,0,0,2025-12-22 14:57:07+00:00,10.203592144986466,False,False
6525397,الملقا,الملقا,Apartments,35000.0,2500.0,1,1,1,0,1,0,0,0,0,2025-12-29 10:27:18+00:00,10.46310334047155,False,True
6492990,لبن,لبن,Apartments,35000.0,55.0,2,1,1,0,1,0,0,0,0,2025-12-04 12:43:28+00:00,10.46310334047155,False,False
6524428,شبرا,شبرا,Floor,45000.0,300.0,7,4,2,0,0,0,0,0,0,2025-12-28 15:05:41+00:00,10.714417768752456,False,False
6405510,المونسيه,المونسيه,Villas,90000.0,260.0,3,1,0,0,0,0,0,0,0,2025-09-30 18:47:29+00:00,11.407564949312402,False,False
6448565,الجنادريه,الجنادريه,Floor,55000.0,172.0,4,3,2,0,0,0,0,0,0,2025-11-01 08:06:12+00:00,10.915088464214607,False,False
6453555,النرجس,النرجس,Apartments,83000.0,98.0,2,2,1,0,1,0,0,0,0,2025-11-04 14:29:17+00:00,11.326595886778735,False,False
6411520,الصحافه,الصحافه,Apartments,35000.0,70.0,1,1,1,1,1,0,0,0,0,2025-10-05 14:17:18+00:00,10.46310334047155,False,False
6499379,الخليج,الخليج,Apartments,28000.0,60.0,1,1,0,0,0,0,0,0,0,2025-12-09 08:11:20+00:00,10.239959789157341,False,False
6393333,الملك فيصل,الملك فيصل,Apartments,23000.0,40.0,1,1,0,0,1,0,0,0,0,2025-09-22 08:19:07+00:00,10.043249494911286,False,False
6327302,النسيم الشرقي,النسيم الشرقي,Apartments,18000.0,30.0,1,1,,0,1,0,0,0,0,2025-08-12 08:56:25+00:00,9.798127036878302,False,False
6513162,النرجس,النرجس,Apartments,95000.0,138.0,4,,,0,0,0,0,0,0,2025-12-19 18:18:16+00:00,11.461632170582678,False,False
6470085,العارض,العارض,Apartments,74000.0,112.0,4,3,1,0,1,1,0,0,0,2025-11-17 04:31:07+00:00,11.211820372186306,False,False
6512890,الصحافه,الصحافه,Apartments,35000.0,80.0,1,1,1,0,1,0,0,0,0,2025-12-19 13:12:01+00:00,10.46310334047155,False,False
6440832,الشفا,الشفا,Apartments,23000.0,60.0,1,,,0,0,0,0,0,0,2025-10-26 13:51:39+00:00,10.043249494911286,False,False
6499555,الندي,الندي,Apartments,56000.0,500.0,2,2,1,0,1,1,0,0,0,2025-12-09 10:47:31+00:00,10.933106969717286,False,False
6519977,السعاده,السعاده,Apartments,42000.0,80.0,2,,,0,0,0,0,0,0,2025-12-24 16:54:43+00:00,10.645424897265505,False,False
6518494,الربوه,الربوه,Apartments,28000.0,75.0,1,1,1,0,1,0,0,0,0,2025-12-23 16:08:32+00:00,10.239959789157341,False,False
6497278,ظهره لبن,ظهره لبن,Apartments,45000.0,450.0,3,2,1,0,0,0,0,0,0,2025-12-07 22:51:13+00:00,10.714417768752456,False,False
6497238,ظهره لبن,ظهره لبن,Apartments,38000.0,420.0,3,2,1,0,0,0,0,0,0,2025-12-07 22:05:21+00:00,10.545341438708522,False,False
6518595,الضباط,الضباط,Apartments,33000.0,591.0,1,1,1,0,1,1,0,0,0,2025-12-23 17:03:37+00:00,10.404262840448617,False,False
6518632,الضباط,الضباط,Apartments,33000.0,591.0,1,1,1,0,1,1,0,0,0,2025-12-23 17:24:29+00:00,10.404262840448617,False,False
6467715,القادسيه,القادسيه,Apartments,60000.0,144.0,3,2,1,0,1,0,0,0,0,2025-11-15 13:07:02+00:00,11.002099841204238,False,False
6484765,غرناطه,غرناطه,Apartments,36000.0,70.0,1,1,1,0,1,0,0,0,0,2025-11-28 18:17:52+00:00,10.491274217438248,False,False
6321080,القدس,القدس,Apartments,70000.0,123.0,3,2,2,0,0,0,0,0,0,2025-08-07 16:04:19+00:00,11.156250521031495,False,False
6474339,اشبيليه,اشبيليه,Apartments,36000.0,512.0,3,2,1,0,0,0,0,0,0,2025-11-20 06:00:27+00:00,10.491274217438248,False,False
6433934,العارض,العارض,Villas,140000.0,260.0,4,5,2,0,1,0,1,0,0,2025-10-21 14:11:57+00:00,11.84939770159144,False,False
6525156,الخليج,الخليج,Apartments,48000.0,333.0,3,2,2,0,0,0,0,0,0,2025-12-29 05:48:38+00:00,10.778956289890028,False,False
6433435,القادسيه,القادسيه,Floor,60000.0,360.0,5,1,0,0,0,0,0,0,0,2025-10-21 09:11:43+00:00,11.002099841204238,False,False
6474374,الياسمين,الياسمين,Apartments,25000.0,170.0,1,,,0,0,0,0,0,0,2025-11-20 06:44:41+00:00,10.126631103850338,False,False
6475514,الملقا,الملقا,Apartments,75000.0,155.0,3,3,1,0,1,1,0,0,0,2025-11-20 23:55:33+00:00,11.225243392518447,False,False
6453471,الرمال,الرمال,Villas,70000.0,300.0,5,1,0,0,1,0,1,1,0,2025-11-04 13:50:13+00:00,11.156250521031495,False,False
6480659,الياسمين,الياسمين,Floor,80000.0,300.0,4,3,1,0,1,0,0,0,0,2025-11-25 13:11:12+00:00,11.289781913656018,False,False
6482984,اشبيليه,اشبيليه,Floor,50000.0,403.0,6,3,1,0,0,0,0,0,0,2025-11-27 06:18:14+00:00,10.819778284410283,False,False
6437372,العقيق,العقيق,Apartments,165000.0,118.0,2,,,0,0,0,0,0,0,2025-10-23 16:10:06+00:00,12.013700752882718,True,False
6515532,الملقا,الملقا,Apartments,95000.0,124.0,3,3,1,0,1,1,0,0,0,2025-12-21 16:53:08+00:00,11.461632170582678,False,False
6481739,الجنادريه,الجنادريه,Villas,69000.0,353.0,,,,0,0,0,0,0,0,2025-11-26 08:15:51+00:00,11.141861783579396,False,False
6488670,حطين,حطين,Apartments,90000.0,154.0,4,1,0,0,0,0,0,0,0,2025-12-01 15:38:09+00:00,11.407564949312402,False,False
6482371,النرجس,النرجس,Apartments,69500.0,97.0,3,1,0,0,0,0,0,0,0,2025-11-26 15:50:54+00:00,11.149082031552883,False,False
6460880,الرمال,الرمال,Apartments,55000.0,159.0,4,3,1,0,1,0,0,0,0,2025-11-09 22:31:54+00:00,10.915088464214607,False,False
6497382,قرطبه,قرطبه,Apartments,68000.0,139.0,3,3,1,0,1,0,0,0,0,2025-12-08 03:12:45+00:00,11.127262984158243,False,False
6525086,منفوحه الجديده,منفوحه الجديده,Apartments,26000.0,239.0,3,,,0,0,0,0,0,0,2025-12-29 02:13:08+00:00,10.165851817003619,False,False
6461572,عرقه,عرقه,Apartments,45000.0,100.0,1,1,1,0,1,1,0,0,0,2025-11-10 12:58:12+00:00,10.714417768752456,False,False
6503012,المروج,المروج,Villas,350000.0,479.0,4,5,2,0,1,1,1,1,0,2025-12-11 15:13:10+00:00,12.765688433465597,True,False
6520440,العقيق,العقيق,Apartments,29000.0,100.0,1,1,,0,1,1,0,0,0,2025-12-25 00:53:25+00:00,10.275051108968611,False,False
6522607,ظهره لبن,ظهره لبن,Apartments,36000.0,120.0,1,1,1,1,1,1,0,0,0,2025-12-26 23:38:28+00:00,10.491274217438248,False,False
6522593,الدار البيضاء,الدار البيضاء,Apartments,33000.0,500.0,4,2,1,0,0,0,0,0,0,2025-12-26 23:18:09+00:00,10.404262840448617,False,False
6522589,الدار البيضاء,الدار البيضاء,Floor,40000.0,250.0,5,3,1,0,0,0,0,0,0,2025-12-26 23:10:31+00:00,10.596634733096073,False,False
6524973,النرجس,النرجس,Apartments,90000.0,150.0,3,,,0,0,0,0,0,0,2025-12-28 21:03:25+00:00,11.407564949312402,False,False
6485955,قرطبه,قرطبه,Apartments,60000.0,158.0,4,3,1,0,1,1,0,0,0,2025-11-29 19:25:43+00:00,11.002099841204238,False,False
6493110,القادسيه,القادسيه,Villas,150000.0,348.0,4,,,0,0,0,0,0,0,2025-12-04 14:14:20+00:00,11.918390573078392,False,False
6524796,عكاظ,عكاظ,Apartments,42000.0,104.0,2,3,1,0,0,0,0,0,0,2025-12-28 18:37:16+00:00,10.645424897265505,False,False
6447222,المروج,المروج,Floor,85000.0,425.0,3,,,0,0,0,0,0,0,2025-10-30 16:49:49+00:00,11.350406535472453,False,False
6524735,العارض,العارض,Apartments,80000.0,130.0,3,3,1,0,1,0,0,0,0,2025-12-28 18:04:30+00:00,11.289781913656018,False,False
6524726,عكاظ,عكاظ,Floor,35000.0,159.0,3,1,3,0,0,0,0,0,0,2025-12-28 18:00:10+00:00,10.46310334047155,False,False
6524708,العارض,العارض,Apartments,70000.0,140.0,3,3,1,0,1,1,0,0,0,2025-12-28 17:50:42+00:00,11.156250521031495,False,False
6524702,ظهره نمار,ظهره نمار,Apartments,26000.0,900.0,4,2,1,0,0,0,0,0,0,2025-12-28 17:48:39+00:00,10.165851817003619,False,False
6524666,ظهره لبن,ظهره لبن,Apartments,45000.0,450.0,2,,,0,0,0,0,0,0,2025-12-28 17:26:13+00:00,10.714417768752456,False,False
6524658,العقيق,العقيق,Apartments,50000.0,100.0,1,1,0,1,1,0,0,0,0,2025-12-28 17:22:24+00:00,10.819778284410283,False,False
6524654,العارض,العارض,Apartments,35000.0,327.0,2,1,1,0,1,0,0,0,0,2025-12-28 17:19:35+00:00,10.46310334047155,False,False
6437995,الصحافه,الصحافه,Apartments,37000.0,80.0,1,1,1,0,1,1,0,0,0,2025-10-24 04:58:37+00:00,10.51867319162636,False,False
6519081,العقيق,العقيق,Apartments,30000.0,50.0,1,1,0,0,1,0,0,0,0,2025-12-24 05:53:49+00:00,10.308952660644293,False,False
6510389,الصحافه,الصحافه,Apartments,66000.0,150.0,4,3,1,0,1,0,0,0,0,2025-12-17 12:28:10+00:00,11.097410021008562,False,False
